Timestamp,ProcessingLatency(ms),UILatency(ms),TotalLatency(ms)
2025-05-19 13:40:22.370,1.43,18.08,19.51
2025-05-19 13:40:22.407,0.08,7.06,7.14
2025-05-19 13:40:22.548,0.06,3.31,3.37
2025-05-19 13:40:22.601,0.17,6.87,7.04
2025-05-19 13:40:22.745,0.06,3.84,3.9
2025-05-19 13:40:22.804,0.12,4.55,4.67
2025-05-19 13:40:22.945,0.07,4.17,4.25
2025-05-19 13:40:22.994,0.41,6.56,6.97
2025-05-19 13:40:23.144,0.06,3.18,3.24
2025-05-19 13:40:23.196,0.19,9.96,10.15
2025-05-19 13:40:23.343,0.05,2.11,2.17
2025-05-19 13:40:23.397,0.08,3.02,3.1
2025-05-19 13:40:23.545,0.06,2.36,2.42
2025-05-19 13:40:23.588,0.07,3.82,3.88
2025-05-19 13:40:23.765,0.04,4.92,4.97
2025-05-19 13:40:23.788,0.04,1.56,1.59
2025-05-19 13:40:23.973,0.07,4.63,4.71
2025-05-19 13:40:23.995,0.36,3.87,4.23
2025-05-19 13:40:24.165,0.07,5.03,5.1
2025-05-19 13:40:24.210,0.24,7.78,8.03
2025-05-19 13:40:24.356,0.53,2.86,3.39
2025-05-19 13:40:24.396,0.04,1.92,1.97
2025-05-19 13:40:24.562,0.06,5.31,5.37
2025-05-19 13:40:24.597,0.04,1.51,1.54
2025-05-19 13:40:24.749,0.07,2.6,2.67
2025-05-19 13:40:24.803,0.04,4.02,4.07
2025-05-19 13:40:24.944,0.04,2.52,2.57
2025-05-19 13:40:24.993,0.06,1.72,1.78
2025-05-19 13:40:25.158,0.07,7.41,7.48
2025-05-19 13:40:25.208,0.06,8.7,8.76
2025-05-19 13:40:25.352,0.09,5.42,5.51
2025-05-19 13:40:25.408,0.08,2.9,2.98
2025-05-19 13:40:25.554,0.1,3.93,4.04
2025-05-19 13:40:25.589,0.04,2.27,2.3
2025-05-19 13:40:25.756,0.07,4.09,4.16
2025-05-19 13:40:25.790,0.34,2.95,3.28
2025-05-19 13:40:25.947,0.04,2.71,2.75
2025-05-19 13:40:26.001,0.06,10.25,10.31
2025-05-19 13:40:26.154,0.04,1.76,1.79
2025-05-19 13:40:26.199,0.05,4.89,4.95
2025-05-19 13:40:26.348,0.06,3.71,3.78
2025-05-19 13:40:26.406,0.09,4.69,4.78
2025-05-19 13:40:26.548,0.06,3.83,3.89
2025-05-19 13:40:26.603,0.06,1.93,1.99
2025-05-19 13:40:26.748,0.11,2.34,2.45
2025-05-19 13:40:26.806,0.05,2.31,2.36
2025-05-19 13:40:26.944,0.05,1.68,1.73
2025-05-19 13:40:27.008,0.24,3.54,3.79
2025-05-19 13:40:27.144,0.07,1.98,2.05
2025-05-19 13:40:27.193,0.03,1.44,1.48
2025-05-19 13:40:27.342,0.04,1.38,1.43
2025-05-19 13:40:27.393,0.04,2.68,2.73
2025-05-19 13:40:27.541,0.06,2.79,2.85
2025-05-19 13:40:27.592,0.07,5.07,5.14
2025-05-19 13:40:27.748,0.07,4.33,4.4
2025-05-19 13:40:27.797,0.43,6.36,6.78
2025-05-19 13:40:27.962,0.07,4.94,5.01
2025-05-19 13:40:28.083,0.21,5.43,5.64
2025-05-19 13:40:28.232,0.05,2.7,2.75
2025-05-19 13:40:28.267,0.14,6.18,6.33
2025-05-19 13:40:28.284,0.12,3.33,3.45
2025-05-19 13:40:28.447,0.07,7.05,7.13
2025-05-19 13:40:28.553,0.09,3.44,3.53
2025-05-19 13:40:28.610,0.07,3.03,3.1
2025-05-19 13:40:28.744,0.05,2.21,2.25
2025-05-19 13:40:28.795,0.05,2.42,2.48
2025-05-19 13:40:28.945,0.05,2.94,2.99
2025-05-19 13:40:29.002,0.08,4.68,4.77
2025-05-19 13:40:29.145,0.06,3.7,3.76
2025-05-19 13:40:29.201,0.07,3.59,3.66
2025-05-19 13:40:29.342,0.04,1.18,1.22
2025-05-19 13:40:29.402,0.06,4.85,4.9
2025-05-19 13:40:29.547,0.08,5.23,5.31
2025-05-19 13:40:29.610,0.06,3.16,3.21
2025-05-19 13:40:29.741,0.04,1.98,2.02
2025-05-19 13:40:29.795,0.06,3.19,3.25
2025-05-19 13:40:29.942,0.04,3.32,3.36
2025-05-19 13:40:30.011,0.16,5.43,5.59
2025-05-19 13:40:30.146,0.49,3.55,4.04
2025-05-19 13:40:30.230,0.13,4.5,4.63
2025-05-19 13:40:30.360,0.06,2.88,2.94
2025-05-19 13:40:30.426,0.1,3.27,3.37
2025-05-19 13:40:30.550,0.08,5.29,5.38
2025-05-19 13:40:30.604,0.19,3.25,3.44
2025-05-19 13:40:30.752,0.06,5.26,5.33
2025-05-19 13:40:30.810,0.08,2.66,2.74
2025-05-19 13:40:30.947,0.06,3.06,3.13
2025-05-19 13:40:31.005,0.06,4.26,4.32
2025-05-19 13:40:31.151,0.04,3.95,3.99
2025-05-19 13:40:31.209,0.04,2.3,2.35
2025-05-19 13:40:31.344,0.04,2.45,2.49
2025-05-19 13:40:31.406,0.06,6.41,6.48
2025-05-19 13:40:31.555,0.22,3.23,3.45
2025-05-19 13:40:31.592,0.35,8.14,8.49
2025-05-19 13:40:31.777,0.08,2.5,2.58
2025-05-19 13:40:31.791,0.05,4.41,4.46
2025-05-19 13:40:31.965,0.05,2.3,2.35
2025-05-19 13:40:32.005,0.06,2.82,2.87
2025-05-19 13:40:32.154,0.07,2.89,2.97
2025-05-19 13:40:32.204,0.05,1.14,1.19
2025-05-19 13:40:32.353,0.07,2.0,2.06
2025-05-19 13:40:32.407,0.07,1.58,1.65
2025-05-19 13:40:32.548,0.04,2.38,2.42
2025-05-19 13:40:32.598,0.03,2.92,2.96
2025-05-19 13:40:32.755,0.06,4.21,4.28
2025-05-19 13:40:32.801,0.04,2.37,2.41
2025-05-19 13:40:32.950,0.06,5.37,5.42
2025-05-19 13:40:32.990,0.07,2.28,2.34
2025-05-19 13:40:33.147,0.05,4.39,4.45
2025-05-19 13:40:33.194,0.37,7.1,7.48
2025-05-19 13:40:33.344,0.06,3.86,3.93
2025-05-19 13:40:33.394,0.08,5.2,5.28
2025-05-19 13:40:33.545,0.04,2.15,2.2
2025-05-19 13:40:33.600,0.07,4.68,4.75
2025-05-19 13:40:33.748,0.06,3.09,3.14
2025-05-19 13:40:33.803,0.06,4.67,4.73
2025-05-19 13:40:33.950,0.08,4.19,4.27
2025-05-19 13:40:34.004,0.08,4.18,4.26
2025-05-19 13:40:34.146,0.06,3.16,3.21
2025-05-19 13:40:34.197,0.04,2.41,2.45
2025-05-19 13:40:34.347,0.06,3.04,3.1
2025-05-19 13:40:34.399,0.08,5.51,5.59
2025-05-19 13:40:34.544,0.04,1.81,1.85
2025-05-19 13:40:34.610,0.28,4.83,5.11
2025-05-19 13:40:34.747,0.06,3.16,3.22
2025-05-19 13:40:34.803,0.07,2.66,2.73
2025-05-19 13:40:34.949,0.08,5.38,5.46
2025-05-19 13:40:35.018,0.45,4.19,4.63
2025-05-19 13:40:35.150,0.06,2.42,2.48
2025-05-19 13:40:35.210,0.39,5.07,5.46
2025-05-19 13:40:35.351,0.07,2.92,2.99
2025-05-19 13:40:35.403,0.04,4.19,4.24
2025-05-19 13:40:35.546,0.03,2.9,2.93
2025-05-19 13:40:35.610,0.21,2.52,2.73
2025-05-19 13:40:35.747,0.07,3.31,3.38
2025-05-19 13:40:35.792,0.05,2.79,2.83
2025-05-19 13:40:35.951,0.05,3.57,3.63
2025-05-19 13:40:36.080,0.09,4.03,4.12
2025-05-19 13:40:36.186,0.05,2.57,2.62
2025-05-19 13:40:36.235,0.06,1.63,1.69
2025-05-19 13:40:36.359,0.07,3.15,3.22
2025-05-19 13:40:36.422,0.07,6.66,6.73
2025-05-19 13:40:36.547,0.04,1.15,1.19
2025-05-19 13:40:36.612,0.25,2.93,3.19
2025-05-19 13:40:36.746,0.04,3.41,3.45
2025-05-19 13:40:36.792,0.04,3.28,3.33
2025-05-19 13:40:36.950,0.06,2.66,2.72
2025-05-19 13:40:36.998,0.06,4.38,4.44
2025-05-19 13:40:37.175,0.06,8.71,8.77
2025-05-19 13:40:37.217,0.08,9.45,9.53
2025-05-19 13:40:37.370,0.07,4.14,4.2
2025-05-19 13:40:37.416,0.09,4.69,4.78
2025-05-19 13:40:37.641,0.05,2.21,2.26
2025-05-19 13:40:37.703,0.04,1.78,1.82
2025-05-19 13:40:37.816,0.07,3.2,3.27
2025-05-19 13:40:37.861,0.08,4.08,4.17
2025-05-19 13:40:37.934,0.28,9.9,10.18
2025-05-19 13:40:38.093,0.06,2.01,2.07
2025-05-19 13:40:38.127,0.1,3.62,3.72
2025-05-19 13:40:38.268,0.06,2.66,2.71
2025-05-19 13:40:38.354,0.09,3.99,4.07
2025-05-19 13:40:38.454,0.05,1.69,1.74
2025-05-19 13:40:38.530,0.07,17.76,17.83
2025-05-19 13:40:38.647,0.05,3.83,3.88
2025-05-19 13:40:38.724,0.08,2.74,2.82
2025-05-19 13:40:38.849,0.05,3.7,3.75
2025-05-19 13:40:38.904,0.08,3.93,4.01
2025-05-19 13:40:39.051,0.07,3.02,3.09
2025-05-19 13:40:39.121,0.13,3.73,3.86
2025-05-19 13:40:39.260,0.08,6.38,6.46
2025-05-19 13:40:39.361,0.08,3.84,3.93
2025-05-19 13:40:39.448,0.15,4.27,4.42
2025-05-19 13:40:39.529,0.06,5.68,5.73
2025-05-19 13:40:39.661,0.08,4.85,4.93
2025-05-19 13:40:39.719,0.08,4.72,4.81
2025-05-19 13:40:39.851,0.06,3.68,3.74
2025-05-19 13:40:39.899,0.24,5.62,5.86
2025-05-19 13:40:40.049,0.08,4.73,4.81
2025-05-19 13:40:40.095,0.37,6.35,6.72
2025-05-19 13:40:40.249,0.05,3.93,3.99
2025-05-19 13:40:40.297,0.08,4.69,4.77
2025-05-19 13:40:40.536,0.07,4.54,4.61
2025-05-19 13:40:40.568,0.09,12.9,12.98
2025-05-19 13:40:40.653,0.04,1.93,1.96
2025-05-19 13:40:40.706,0.17,4.75,4.92
2025-05-19 13:40:40.889,0.06,3.43,3.48
2025-05-19 13:40:40.897,0.06,4.23,4.28
2025-05-19 13:40:41.048,0.06,3.76,3.82
2025-05-19 13:40:41.104,0.1,2.66,2.76
2025-05-19 13:40:41.251,0.06,4.14,4.2
2025-05-19 13:40:41.295,0.06,5.2,5.27
2025-05-19 13:40:41.477,0.05,3.0,3.05
2025-05-19 13:40:41.566,0.11,5.14,5.25
2025-05-19 13:40:41.679,0.06,3.18,3.24
2025-05-19 13:40:41.787,0.27,5.18,5.45
2025-05-19 13:40:41.900,0.04,2.51,2.55
2025-05-19 13:40:41.986,0.09,6.59,6.67
2025-05-19 13:40:42.055,0.1,1.69,1.78
2025-05-19 13:40:42.175,0.06,3.2,3.25
2025-05-19 13:40:42.193,0.08,6.38,6.46
2025-05-19 13:40:42.336,0.06,2.34,2.4
2025-05-19 13:40:42.448,0.05,2.17,2.22
2025-05-19 13:40:42.535,0.18,4.49,4.67
2025-05-19 13:40:42.655,0.06,2.71,2.77
2025-05-19 13:40:42.752,0.06,3.04,3.11
2025-05-19 13:40:42.876,0.04,1.21,1.25
2025-05-19 13:40:42.946,0.06,4.18,4.24
2025-05-19 13:40:43.082,0.08,5.38,5.45
2025-05-19 13:40:43.138,0.07,4.55,4.62
2025-05-19 13:40:43.274,0.06,3.28,3.34
2025-05-19 13:40:43.355,0.11,5.56,5.67
2025-05-19 13:40:43.480,0.06,5.1,5.15
2025-05-19 13:40:43.507,0.12,4.49,4.62
2025-05-19 13:40:43.686,0.05,3.52,3.57
2025-05-19 13:40:43.773,0.09,4.16,4.25
2025-05-19 13:40:43.882,0.03,1.52,1.55
2025-05-19 13:40:43.964,0.1,3.64,3.74
2025-05-19 13:40:43.966,0.04,1.36,1.41
2025-05-19 13:40:44.111,0.21,2.54,2.75
2025-05-19 13:40:44.254,0.07,2.64,2.7
2025-05-19 13:40:44.294,0.06,1.85,1.91
2025-05-19 13:40:44.446,0.04,1.73,1.76
2025-05-19 13:40:44.520,0.08,2.47,2.54
2025-05-19 13:40:44.654,0.06,5.23,5.29
2025-05-19 13:40:44.725,0.41,2.87,3.28
2025-05-19 13:40:44.850,0.05,2.93,2.98
2025-05-19 13:40:44.925,0.08,4.04,4.13
2025-05-19 13:40:45.048,0.03,1.81,1.84
2025-05-19 13:40:45.127,0.04,1.51,1.55
2025-05-19 13:40:45.254,0.05,2.63,2.68
2025-05-19 13:40:45.337,0.07,4.62,4.7
2025-05-19 13:40:45.457,0.28,3.23,3.5
2025-05-19 13:40:45.511,0.08,4.98,5.06
2025-05-19 13:40:45.650,0.04,2.31,2.34
2025-05-19 13:40:45.703,0.06,3.73,3.79
2025-05-19 13:40:45.852,0.06,4.69,4.75
2025-05-19 13:40:45.897,0.06,4.79,4.85
2025-05-19 13:40:46.050,0.06,5.39,5.45
2025-05-19 13:40:46.108,0.08,5.63,5.71
2025-05-19 13:40:46.269,0.06,6.92,6.98
2025-05-19 13:40:46.321,0.13,11.62,11.75
2025-05-19 13:40:46.449,0.04,1.84,1.87
2025-05-19 13:40:46.516,0.06,5.54,5.6
2025-05-19 13:40:46.651,0.07,1.99,2.06
2025-05-19 13:40:46.726,0.21,4.59,4.8
2025-05-19 13:40:46.849,0.03,1.91,1.94
2025-05-19 13:40:46.907,0.13,5.06,5.19
2025-05-19 13:40:47.054,0.1,4.39,4.49
2025-05-19 13:40:47.100,0.04,3.44,3.48
2025-05-19 13:40:47.249,0.06,4.12,4.18
2025-05-19 13:40:47.292,0.06,4.77,4.83
2025-05-19 13:40:47.453,0.06,4.05,4.11
2025-05-19 13:40:47.504,0.08,4.55,4.64
2025-05-19 13:40:47.662,0.09,4.39,4.48
2025-05-19 13:40:47.700,0.04,2.7,2.74
2025-05-19 13:40:48.255,0.09,398.45,398.54
2025-05-19 13:40:51.336,0.05,4.84,4.9
2025-05-19 13:40:51.353,0.04,13.93,13.97
2025-05-19 13:40:51.379,0.09,10.3,10.4
2025-05-19 13:40:51.492,0.07,7.06,7.12
2025-05-19 13:40:51.497,0.07,2.6,2.67
2025-05-19 13:40:51.628,0.04,1.37,1.41
2025-05-19 13:40:51.778,0.04,3.76,3.8
2025-05-19 13:40:51.823,0.1,3.36,3.46
2025-05-19 13:40:52.003,0.05,3.13,3.18
2025-05-19 13:40:52.071,0.07,3.34,3.41
2025-05-19 13:40:52.163,0.05,2.87,2.92
2025-05-19 13:40:52.225,0.19,3.9,4.09
2025-05-19 13:40:52.409,0.09,3.84,3.92
2025-05-19 13:40:52.418,0.05,5.29,5.34
2025-05-19 13:40:52.598,0.19,3.05,3.23
2025-05-19 13:40:52.622,0.07,2.79,2.86
2025-05-19 13:40:52.798,0.29,5.29,5.58
2025-05-19 13:40:52.842,0.07,2.32,2.39
2025-05-19 13:40:52.983,0.11,2.67,2.78
2025-05-19 13:40:53.051,0.05,8.28,8.33
2025-05-19 13:40:53.184,0.03,1.26,1.29
